goos: linux
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm
cpu: Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-4         	  301780	      3618 ns/op	       665.0 gas/op	       183.8 mgas/s	    1848 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-4         	  343906	      3583 ns/op	       665.0 gas/op	       185.6 mgas/s	    1848 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-4         	  343573	      3492 ns/op	       665.0 gas/op	       190.4 mgas/s	    1848 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-4           	  252379	      5359 ns/op	       665.0 gas/op	       124.1 mgas/s	    2392 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-4           	  231260	      5269 ns/op	       665.0 gas/op	       126.2 mgas/s	    2392 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-4           	  211515	      5366 ns/op	       665.0 gas/op	       123.9 mgas/s	    2392 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-4           	  219031	      5267 ns/op	       665.0 gas/op	       126.2 mgas/s	    2392 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-4           	  219771	      5204 ns/op	       665.0 gas/op	       127.8 mgas/s	    2392 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-4           	  224294	      5221 ns/op	       665.0 gas/op	       127.4 mgas/s	    2392 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-4           	  213808	      5267 ns/op	       665.0 gas/op	       126.2 mgas/s	    2392 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-4           	  209050	      5307 ns/op	       665.0 gas/op	       125.3 mgas/s	    2392 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-4           	  219559	      5223 ns/op	       665.0 gas/op	       127.3 mgas/s	    2392 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-4           	  241364	      5313 ns/op	       665.0 gas/op	       125.2 mgas/s	    2392 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-4   	   43819	     27037 ns/op	     10649 gas/op	       393.9 mgas/s	    3289 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-4   	   44557	     26708 ns/op	     10649 gas/op	       398.7 mgas/s	    3289 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-4   	   44334	     26958 ns/op	     10649 gas/op	       395.0 mgas/s	    3289 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-4   	   44172	     27011 ns/op	     10649 gas/op	       394.2 mgas/s	    3289 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-4   	   44734	     26550 ns/op	     10649 gas/op	       401.1 mgas/s	    3289 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-4   	   44634	     26824 ns/op	     10649 gas/op	       397.0 mgas/s	    3289 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-4   	   43286	     26591 ns/op	     10649 gas/op	       400.4 mgas/s	    3289 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-4   	   44307	     27002 ns/op	     10649 gas/op	       394.4 mgas/s	    3289 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-4   	   44242	     26968 ns/op	     10649 gas/op	       394.9 mgas/s	    3289 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-4   	   42844	     28050 ns/op	     10649 gas/op	       379.6 mgas/s	    3289 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-4        	  193150	      6435 ns/op	      1894 gas/op	       294.3 mgas/s	    2905 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-4        	  175406	      6342 ns/op	      1894 gas/op	       298.6 mgas/s	    2905 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-4        	  173013	      6340 ns/op	      1894 gas/op	       298.7 mgas/s	    2905 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-4        	  181924	      6521 ns/op	      1894 gas/op	       290.4 mgas/s	    2905 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-4        	  183979	      6338 ns/op	      1894 gas/op	       298.8 mgas/s	    2905 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-4        	  192831	      6478 ns/op	      1894 gas/op	       292.4 mgas/s	    2905 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-4        	  181609	      6478 ns/op	      1894 gas/op	       292.3 mgas/s	    2905 B/op	      25 allocs/op
